display_title,docdt,url,pdfurl
International Finance Corporation (IFC) Board of Governors resolution ; no. 47 : Membership of Kenya,1963-09-30T04:00:00Z,http://documents.worldbank.org/curated/en/929461468047101677,http://documents.worldbank.org/curated/en/929461468047101677/pdf/846270IFC470Me0ox0382141B00PUBLIC0.pdf
"Announcement of Report on Kenya Published on May 25, 1963",1963-05-25T04:00:00Z,http://documents.worldbank.org/curated/en/994301584957879839,http://documents.worldbank.org/curated/en/994301584957879839/pdf/Announcement-of-Report-on-Kenya-Published-on-May-25-1963.pdf
"Ceylon, East Africa Common Services Organization, Rhodesia and Nyasaland, Kenya, Malaya, Netherlands, Nigeria, Norway, Pakistan, Tanganyika, Trinidad and Tobago, Uganda, United Kingdom - External public debt : estimated service and principal amounts",1963-03-25T05:00:00Z,http://documents.worldbank.org/curated/en/834701468272359737,http://documents.worldbank.org/curated/en/834701468272359737/pdf/EC1150SR0Box360nd0Principal0Amounts.pdf
The economic development of Kenya,1963-01-01T05:00:00Z,http://documents.worldbank.org/curated/en/442651468752965494,http://documents.worldbank.org/curated/en/442651468752965494/pdf/multi0page.pdf
,,,
"Announcement of IDA Credit for Roads in Kenya on December 29, 1964",1964-12-29T05:00:00Z,http://documents.worldbank.org/curated/en/399261602688671240,http://documents.worldbank.org/curated/en/399261602688671240/pdf/Announcement-of-IDA-Credit-for-Roads-in-Kenya-on-December-29-1964.pdf
Kenya - Highway Project : Credit 0070  - Credit Agreement - Conformed,1964-12-29T05:00:00Z,http://documents.worldbank.org/curated/en/794311468272077260,http://documents.worldbank.org/curated/en/794311468272077260/pdf/Credit-0070-Kenya-Highway-Project-Credit-Agreement.pdf
Kenya - Second Highway Project,1964-11-30T05:00:00Z,http://documents.worldbank.org/curated/en/141651468273615741,http://documents.worldbank.org/curated/en/141651468273615741/pdf/multi0page.pdf
Kenya - Second Highway Project,1964-11-30T05:00:00Z,http://documents.worldbank.org/curated/en/707091468090303816,http://documents.worldbank.org/curated/en/707091468090303816/pdf/multi0page.pdf
"Announcement of World Bank Credit Extended to Kenya for Tea Development on August 17, 1964",1964-08-17T04:00:00Z,http://documents.worldbank.org/curated/en/175411602600725691,http://documents.worldbank.org/curated/en/175411602600725691/pdf/Announcement-of-World-Bank-Credit-Extended-to-Kenya-for-Tea-Development-on-August-17-1964.pdf
Kenya - Kenya Tea Development Authority Project : Credit 0064  - Credit Agreement - Conformed,1964-08-17T04:00:00Z,http://documents.worldbank.org/curated/en/553421468047422963,http://documents.worldbank.org/curated/en/553421468047422963/pdf/Credit-0064-Kenya-Kenya-Tea-Development-Authority-Project-Credit-Agreement.pdf
Upper Volta - Second Rural Develoment Fund Project : Credit 0640 - Credit Agreement - Conformed,1964-08-17T04:00:00Z,http://documents.worldbank.org/curated/en/959201468254340466,http://documents.worldbank.org/curated/en/959201468254340466/pdf/Credit-0640-Upper-Volta-Second-Rural-Develoment-Fund-Project-Credit-Agreement.pdf
Kenya - Kenya Tea Development Authority Project : Credit 0064  - Project Agreement - Conformed,1964-08-17T04:00:00Z,http://documents.worldbank.org/curated/en/135121468272708667,http://documents.worldbank.org/curated/en/135121468272708667/pdf/Credit-0064-Kenya-Kenya-Tea-Development-Authority-Project-Project-Agreement.pdf
Kenya - The economy,1964-07-31T04:00:00Z,http://documents.worldbank.org/curated/en/677281468273616250,http://documents.worldbank.org/curated/en/677281468273616250/pdf/multi0page.pdf
Kenya - Smallholder Tea Development Project,1964-07-19T04:00:00Z,http://documents.worldbank.org/curated/en/261831468088477754,http://documents.worldbank.org/curated/en/261831468088477754/pdf/Kenya-Smallholder-Tea-Development-Project.pdf
,,,
Kenya - Smallholder Tea Development Project,1964-07-13T04:00:00Z,http://documents.worldbank.org/curated/en/172991468273331848,http://documents.worldbank.org/curated/en/172991468273331848/pdf/multi0page.pdf
"Announcement of Membership of Kenya on February 3, 1964",1964-02-03T05:00:00Z,http://documents.worldbank.org/curated/en/561371591334341582,http://documents.worldbank.org/curated/en/561371591334341582/pdf/Announcement-of-Membership-of-Kenya-on-February-3-1964.pdf
,,,
Kenya - Road Project,1965-06-30T04:00:00Z,http://documents.worldbank.org/curated/en/108101468045531412,http://documents.worldbank.org/curated/en/108101468045531412/pdf/multi0page.pdf
Kenya - Tea Road Project - Credit Agreement : Credit 0077  - 2 - Conformed,1965-06-30T04:00:00Z,http://documents.worldbank.org/curated/en/336371468088471392,http://documents.worldbank.org/curated/en/336371468088471392/pdf/Credit-0077-Kenya-Tea-Road-Project-Credit-Agreement-2.pdf
Kenya - Road Project,1965-06-30T04:00:00Z,http://documents.worldbank.org/curated/en/187701468047720949,http://documents.worldbank.org/curated/en/187701468047720949/pdf/multi0page.pdf
Kenya - Tea Road Project - Credit Agreement : Credit 0077  - 1 - Conformed,1965-06-30T04:00:00Z,http://documents.worldbank.org/curated/en/693351468048290443,http://documents.worldbank.org/curated/en/693351468048290443/pdf/Credit-0077-Kenya-Tea-Road-Project-Credit-Agreement-1.pdf
Three Million Credit to Kenya,1965-06-23T04:00:00Z,http://documents.worldbank.org/curated/en/310861598647486372,http://documents.worldbank.org/curated/en/310861598647486372/pdf/Three-Million-Credit-to-Kenya.pdf
